case:concept:name,concept:name,amount,article,dismissal,expense,lastSent,lifecycle:transition,notificationType,org:resource,paymentAmount,points,time:timestamp,totalPaymentAmount,vehicleClass
N77802,Create Fine,35,157,NIL,,,complete,,537,,0,2005-03-23 00:00:00+01:00,0,A
N77802,Send Fine,,,,11,,complete,,,,,2005-07-22 00:00:00+02:00,,
A17641,Create Fine,36,157,NIL,,,complete,,541,,0,2007-07-14 00:00:00+02:00,0,A
A17641,Payment,,,,,,complete,,,36,,2007-07-16 00:00:00+02:00,36,
S106046,Create Fine,35,157,NIL,,,complete,,52,,0,2006-07-12 00:00:00+02:00,0,A
S106046,Send Fine,,,,11,,complete,,,,,2006-12-04 00:00:00+01:00,,
S106046,Insert Fine Notification,,,,,P,complete,P,,,,2006-12-25 00:00:00+01:00,,
S106046,Add penalty,71.5,,,,,complete,,,,,2007-02-23 00:00:00+01:00,,
S106046,Payment,,,,,,complete,,,49.25,,2007-05-28 00:00:00+02:00,49.25,
S106046,Payment,,,,,,complete,,,33.25,,2007-07-05 00:00:00+02:00,82.5,
N86044,Create Fine,35,157,NIL,,,complete,,541,,0,2005-10-30 00:00:00+02:00,0,A
N86044,Payment,,,,,,complete,,,35,,2005-11-10 00:00:00+01:00,35,
S57499,Create Fine,32,7,NIL,,,complete,,31,,0,2002-04-10 00:00:00+02:00,0,A
S57499,Send Fine,,,,10,,complete,,,,,2002-06-10 00:00:00+02:00,,
N67803,Create Fine,33.6,157,NIL,,,complete,,537,,0,2004-12-09 00:00:00+01:00,0,A
N67803,Send Fine,,,,11,,complete,,,,,2005-04-28 00:00:00+02:00,,
N67803,Insert Fine Notification,,,,,P,complete,P,,,,2005-05-06 00:00:00+02:00,,
N67803,Add penalty,68.77,,,,,complete,,,,,2005-07-05 00:00:00+02:00,,
N67803,Send for Credit Collection,,,,,,complete,,,,,2007-02-28 00:00:00+01:00,,
S73479,Create Fine,65,158,NIL,,,complete,,837,,0,2002-06-29 00:00:00+02:00,0,A
S73479,Send Fine,,,,10,,complete,,,,,2002-07-29 00:00:00+02:00,,
A23741,Create Fine,36,157,NIL,,,complete,,550,,0,2008-01-14 00:00:00+01:00,0,A
A23741,Send Fine,,,,13,,complete,,,,,2008-03-01 00:00:00+01:00,,
A23741,Insert Fine Notification,,,,,P,complete,P,,,,2008-03-20 00:00:00+01:00,,
A23741,Add penalty,74,,,,,complete,,,,,2008-05-19 00:00:00+02:00,,
A23741,Send for Credit Collection,,,,,,complete,,,,,2009-03-30 00:00:00+02:00,,
S59734,Create Fine,31.3,7,NIL,,,complete,,811,,0,2000-10-22 00:00:00+02:00,0,A
S59734,Send Fine,,,,6.71,,complete,,,,,2000-11-30 00:00:00+01:00,,
S59734,Insert Fine Notification,,,,,N,complete,P,,,,2001-01-08 00:00:00+01:00,,
S59734,Add penalty,62.59,,,,,complete,,,,,2001-03-09 00:00:00+01:00,,
S59734,Send for Credit Collection,,,,,,complete,,,,,2002-04-10 00:00:00+02:00,,
N55940,Create Fine,33.6,157,NIL,,,complete,,536,,0,2004-06-21 00:00:00+02:00,0,A
N55940,Payment,,,,,,complete,,,33.6,,2004-06-24 00:00:00+02:00,33.6,
A13415,Create Fine,22,7,NIL,,,complete,,550,,0,2007-09-12 00:00:00+02:00,0,A
A13415,Send Fine,,,,13,,complete,,,,,2007-12-27 00:00:00+01:00,,
A43678,Create Fine,38,157,NIL,,,complete,,561,,0,2009-06-30 00:00:00+02:00,0,A
A43678,Send Fine,,,,13.5,,complete,,,,,2009-09-25 00:00:00+02:00,,
A43678,Insert Fine Notification,,,,,P,complete,P,,,,2009-10-01 00:00:00+02:00,,
A43678,Add penalty,77.5,,,,,complete,,,,,2009-11-30 00:00:00+01:00,,
A43678,Payment,,,,,,complete,,,51.5,,2009-11-30 00:00:00+01:00,51.5,
A17768,Create Fine,22,7,NIL,,,complete,,560,,0,2007-07-15 00:00:00+02:00,0,A
A17768,Send Fine,,,,13,,complete,,,,,2007-10-31 00:00:00+01:00,,
N38118,Create Fine,32.8,157,NIL,,,complete,,538,,0,2001-10-22 00:00:00+02:00,0,A
N38118,Send Fine,,,,6.71,,complete,,,,,2001-11-24 00:00:00+01:00,,
N38118,Insert Fine Notification,,,,,N,complete,P,,,,2002-01-02 00:00:00+01:00,,
N38118,Add penalty,65.6,,,,,complete,,,,,2002-03-03 00:00:00+01:00,,
N38118,Send for Credit Collection,,,,,,complete,,,,,2003-01-10 00:00:00+01:00,,
S127586,Create Fine,38,157,NIL,,,complete,,24,,0,2009-08-15 00:00:00+02:00,0,A
S127586,Payment,,,,,,complete,,,38,,2009-08-17 00:00:00+02:00,38,
S60775,Create Fine,65.6,41,A,,,complete,,30,,0,2001-07-26 00:00:00+02:00,0,A
S60775,Send Fine,,,,6.71,,complete,,,,,2001-10-18 00:00:00+02:00,,
S138518,Create Fine,38,157,NIL,,,complete,,848,,0,2009-06-20 00:00:00+02:00,0,A
S138518,Send Fine,,,,13.5,,complete,,,,,2009-09-18 00:00:00+02:00,,
S138518,Insert Fine Notification,,,,,P,complete,P,,,,2009-10-08 00:00:00+02:00,,
S138518,Add penalty,77.5,,,,,complete,,,,,2009-12-07 00:00:00+01:00,,
S138518,Send for Credit Collection,,,,,,complete,,,,,2012-03-26 00:00:00+02:00,,
C13687,Create Fine,32.8,7,NIL,,,complete,,820,,0,2001-07-09 00:00:00+02:00,0,M
C13687,Send Fine,,,,0,,complete,,,,,2001-07-09 00:00:00+02:00,,
C13687,Insert Fine Notification,,,,,N,complete,P,,,,2001-07-09 00:00:00+02:00,,
C13687,Add penalty,65.6,,,,,complete,,,,,2001-09-07 00:00:00+02:00,,
C13687,Send for Credit Collection,,,,,,complete,,,,,2003-01-10 00:00:00+01:00,,
S71489,Create Fine,65,158,NIL,,,complete,,833,,0,2002-06-06 00:00:00+02:00,0,A
S71489,Send Fine,,,,10,,complete,,,,,2002-09-05 00:00:00+02:00,,
S71489,Insert Fine Notification,,,,,N,complete,P,,,,2002-09-11 00:00:00+02:00,,
S71489,Add penalty,131,,,,,complete,,,,,2002-11-10 00:00:00+01:00,,
S71489,Send for Credit Collection,,,,,,complete,,,,,2004-01-10 00:00:00+01:00,,
P5172,Create Fine,24,7,NIL,,,complete,,559,,0,2012-08-25 00:00:00+02:00,0,A
P5172,Send Fine,,,,30,,complete,,,,,2013-02-06 00:00:00+01:00,,
S67541,Create Fine,32.8,7,NIL,,,complete,,839,,0,2001-08-05 00:00:00+02:00,0,A
S67541,Send Fine,,,,6.71,,complete,,,,,2001-11-09 00:00:00+01:00,,
S67541,Payment,,,,,,complete,,,39.51,,2001-12-14 00:00:00+01:00,39.51,
S157468,Create Fine,23,181,NIL,,,complete,,858,,0,2010-07-31 00:00:00+02:00,0,A
S157468,Payment,,,,,,complete,,,23,,2010-08-17 00:00:00+02:00,23,
S100992,Create Fine,35,7,NIL,,,complete,,49,,0,2005-02-01 00:00:00+01:00,0,A
S100992,Send Fine,,,,16.6,,complete,,,,,2005-06-10 00:00:00+02:00,,
S100992,Insert Fine Notification,,,,,P,complete,P,,,,2005-06-30 00:00:00+02:00,,
S100992,Payment,,,,,,complete,,,46,,2005-08-09 00:00:00+02:00,46,
S100992,Add penalty,71.5,,,,,complete,,,,,2005-08-29 00:00:00+02:00,,
S100992,Payment,,,,,,complete,,,5.6,,2005-09-09 00:00:00+02:00,51.6,
P716,Create Fine,24,7,NIL,,,complete,,559,,0,2011-06-21 00:00:00+02:00,0,A
P716,Send Fine,,,,15,,complete,,,,,2011-07-26 00:00:00+02:00,,
P716,Insert Fine Notification,,,,,P,complete,P,,,,2011-10-13 00:00:00+02:00,,
P716,Add penalty,47,,,,,complete,,,,,2011-12-12 00:00:00+01:00,,
P716,Send for Credit Collection,,,,,,complete,,,,,2013-04-24 00:00:00+02:00,,
C18200,Create Fine,143,80,NIL,,,complete,,57,,0,2005-09-17 00:00:00+02:00,0,A
C18200,Send Fine,,,,0,,complete,,,,,2005-09-17 00:00:00+02:00,,
C18200,Insert Fine Notification,,,,,C,complete,P,,,,2005-09-17 00:00:00+02:00,,
C18200,Add penalty,286.5,,,,,complete,,,,,2005-11-16 00:00:00+01:00,,
C18200,Send for Credit Collection,,,,,,complete,,,,,2007-02-28 00:00:00+01:00,,
N62843,Create Fine,33.6,157,NIL,,,complete,,541,,0,2004-08-27 00:00:00+02:00,0,A
N62843,Send Fine,,,,11,,complete,,,,,2004-12-24 00:00:00+01:00,,
N62843,Insert Fine Notification,,,,,P,complete,P,,,,2005-01-08 00:00:00+01:00,,
N62843,Payment,,,,,,complete,,,33.6,,2005-01-18 00:00:00+01:00,33.6,
N62843,Add penalty,68.77,,,,,complete,,,,,2005-03-09 00:00:00+01:00,,
N62843,Payment,,,,,,complete,,,11,,2005-06-24 00:00:00+02:00,44.6,
S82710,Create Fine,33.6,7,NIL,,,complete,,45,,0,2003-08-03 00:00:00+02:00,0,A
S82710,Send Fine,,,,10,,complete,,,,,2003-11-03 00:00:00+01:00,,
S82710,Insert Fine Notification,,,,,N,complete,P,,,,2003-11-13 00:00:00+01:00,,
S82710,Add penalty,68.77,,,,,complete,,,,,2004-01-12 00:00:00+01:00,,
S82710,Send for Credit Collection,,,,,,complete,,,,,2004-12-25 00:00:00+01:00,,
S72997,Create Fine,32,7,NIL,,,complete,,825,,0,2002-07-17 00:00:00+02:00,0,A
S72997,Send Fine,,,,10,,complete,,,,,2002-09-05 00:00:00+02:00,,
S72997,Payment,,,,,,complete,,,42,,2002-09-13 00:00:00+02:00,42,
N68169,Create Fine,33.6,157,NIL,,,complete,,541,,0,2004-12-03 00:00:00+01:00,0,A
N68169,Payment,,,,,,complete,,,33.6,,2004-12-09 00:00:00+01:00,33.6,
A34570,Create Fine,36,157,NIL,,,complete,,565,,0,2008-07-26 00:00:00+02:00,0,A
A34570,Payment,,,,,,complete,,,36,,2008-08-04 00:00:00+02:00,36,
N61259,Create Fine,33.6,157,NIL,,,complete,,554,,0,2004-08-08 00:00:00+02:00,0,A
N61259,Send Fine,,,,16.6,,complete,,,,,2004-12-17 00:00:00+01:00,,
N61259,Payment,,,,,,complete,,,44.6,,2005-01-11 00:00:00+01:00,44.6,
N61259,Insert Fine Notification,,,,,P,complete,P,,,,2005-01-13 00:00:00+01:00,,
N61259,Add penalty,68.77,,,,,complete,,,,,2005-03-14 00:00:00+01:00,,
N61259,Payment,,,,,,complete,,,5.6,,2005-04-04 00:00:00+02:00,50.2,
S114544,Create Fine,71,158,NIL,,,complete,,45,,0,2006-08-12 00:00:00+02:00,0,A
S114544,Payment,,,,,,complete,,,71,,2006-08-21 00:00:00+02:00,71,
V10961,Create Fine,137.55,142,NIL,,,complete,,35,,0,2003-02-25 00:00:00+01:00,0,A
V10961,Send Fine,,,,10,,complete,,,,,2003-05-20 00:00:00+02:00,,
N98851,Create Fine,35,157,NIL,,,complete,,541,,0,2006-06-25 00:00:00+02:00,0,A
N98851,Payment,,,,,,complete,,,35,,2006-06-28 00:00:00+02:00,35,
N32179,Create Fine,32.8,157,NIL,,,complete,,548,,0,2001-03-12 00:00:00+01:00,0,A
N32179,Send Fine,,,,6.71,,complete,,,,,2001-06-07 00:00:00+02:00,,
N32179,Insert Fine Notification,,,,,N,complete,P,,,,2001-06-28 00:00:00+02:00,,
N32179,Add penalty,65.6,,,,,complete,,,,,2001-08-27 00:00:00+02:00,,
N32179,Send for Credit Collection,,,,,,complete,,,,,2003-01-10 00:00:00+01:00,,
P1616,Create Fine,24,7,NIL,,,complete,,537,,0,2011-08-07 00:00:00+02:00,0,A
P1616,Send Fine,,,,15,,complete,,,,,2011-10-04 00:00:00+02:00,,
P1616,Insert Fine Notification,,,,,P,complete,P,,,,2011-11-24 00:00:00+01:00,,
P1616,Add penalty,47,,,,,complete,,,,,2012-01-23 00:00:00+01:00,,
P1616,Send for Credit Collection,,,,,,complete,,,,,2013-04-24 00:00:00+02:00,,
S60957,Create Fine,32.8,7,NIL,,,complete,,813,,0,2001-05-07 00:00:00+02:00,0,A
S60957,Payment,,,,,,complete,,,32.8,,2001-05-10 00:00:00+02:00,32.8,
S177357,Create Fine,39,7,NIL,,,complete,,53,,0,2011-11-15 00:00:00+01:00,0,A
S177357,Send Fine,,,,15,,complete,,,,,2012-01-14 00:00:00+01:00,,
S177357,Insert Fine Notification,,,,,P,complete,P,,,,2012-02-03 00:00:00+01:00,,
S177357,Add penalty,79.5,,,,,complete,,,,,2012-04-03 00:00:00+02:00,,
S177357,Send for Credit Collection,,,,,,complete,,,,,2013-04-24 00:00:00+02:00,,
N81159,Create Fine,35,157,NIL,,,complete,,559,,0,2005-07-21 00:00:00+02:00,0,A
N81159,Send Fine,,,,14.25,,complete,,,,,2005-12-03 00:00:00+01:00,,
N81159,Insert Fine Notification,,,,,P,complete,P,,,,2005-12-21 00:00:00+01:00,,
N81159,Payment,,,,,,complete,,,35,,2006-02-08 00:00:00+01:00,35,
N81159,Add penalty,71.5,,,,,complete,,,,,2006-02-19 00:00:00+01:00,,
N81159,Payment,,,,,,complete,,,14.25,,2006-11-21 00:00:00+01:00,49.25,
N61346,Create Fine,33.6,157,NIL,,,complete,,555,,0,2004-07-31 00:00:00+02:00,0,A
N61346,Send Fine,,,,11,,complete,,,,,2004-12-17 00:00:00+01:00,,
N61346,Insert Fine Notification,,,,,P,complete,P,,,,2005-01-21 00:00:00+01:00,,
N61346,Add penalty,68.77,,,,,complete,,,,,2005-03-22 00:00:00+01:00,,
N61346,Send for Credit Collection,,,,,,complete,,,,,2006-02-28 00:00:00+01:00,,
S132979,Create Fine,38,7,NIL,,,complete,,58,,0,2009-03-11 00:00:00+01:00,0,A
S132979,Payment,,,,,,complete,,,38,,2009-03-25 00:00:00+01:00,38,
S168952,Create Fine,39,7,NIL,,,complete,,852,,0,2011-06-09 00:00:00+02:00,0,A
S168952,Send Fine,,,,15,,complete,,,,,2011-07-26 00:00:00+02:00,,
S168952,Insert Fine Notification,,,,,P,complete,P,,,,2011-10-02 00:00:00+02:00,,
S168952,Add penalty,79.5,,,,,complete,,,,,2011-12-01 00:00:00+01:00,,
S168952,Send for Credit Collection,,,,,,complete,,,,,2013-04-24 00:00:00+02:00,,
N73576,Create Fine,21,7,NIL,,,complete,,538,,0,2005-09-22 00:00:00+02:00,0,A
N73576,Send Fine,,,,14.25,,complete,,,,,2005-12-22 00:00:00+01:00,,
N73576,Insert Fine Notification,,,,,P,complete,P,,,,2006-01-23 00:00:00+01:00,,
N73576,Add penalty,42.5,,,,,complete,,,,,2006-03-24 00:00:00+01:00,,
N73576,Send for Credit Collection,,,,,,complete,,,,,2007-02-28 00:00:00+01:00,,
S163863,Create Fine,39,7,NIL,,,complete,,24,,0,2012-03-16 00:00:00+01:00,0,A
S163863,Send Fine,,,,15,,complete,,,,,2012-04-16 00:00:00+02:00,,
S163863,Insert Fine Notification,,,,,P,complete,P,,,,2012-04-26 00:00:00+02:00,,
S163863,Add penalty,79.5,,,,,complete,,,,,2012-06-25 00:00:00+02:00,,
S163863,Payment,,,,,,complete,,,54,,2012-06-26 00:00:00+02:00,54,
S125897,Create Fine,36,7,NIL,,,complete,,49,,0,2008-07-28 00:00:00+02:00,0,A
S125897,Payment,,,,,,complete,,,36,,2008-09-12 00:00:00+02:00,36,
S84154,Create Fine,68.25,158,NIL,,,complete,,32,,0,2003-08-15 00:00:00+02:00,0,A
S84154,Send Fine,,,,10,,complete,,,,,2003-11-10 00:00:00+01:00,,
S111357,Create Fine,35,157,NIL,,,complete,,824,,0,2006-05-05 00:00:00+02:00,0,A
S111357,Payment,,,,,,complete,,,35,,2006-05-05 00:00:00+02:00,35,
S181181,Create Fine,39,157,NIL,,,complete,,63,,0,2012-07-03 00:00:00+02:00,0,A
S181181,Send Fine,,,,15,,complete,,,,,2012-09-07 00:00:00+02:00,,
S181181,Insert Fine Notification,,,,,P,complete,P,,,,2012-09-17 00:00:00+02:00,,
S181181,Add penalty,79.5,,,,,complete,,,,,2012-11-16 00:00:00+01:00,,
S181181,Payment,,,,,,complete,,,94.5,,2013-01-15 00:00:00+01:00,94.5,
N57174,Create Fine,33.6,157,NIL,,,complete,,538,,0,2004-07-05 00:00:00+02:00,0,A
N57174,Send Fine,,,,11,,complete,,,,,2004-11-22 00:00:00+01:00,,
N57933,Create Fine,33.6,157,NIL,,,complete,,555,,0,2004-07-12 00:00:00+02:00,0,A
N57933,Send Fine,,,,11,,complete,,,,,2004-11-23 00:00:00+01:00,,
N57933,Insert Fine Notification,,,,,P,complete,P,,,,2004-11-30 00:00:00+01:00,,
N57933,Payment,,,,,,complete,,,33.6,,2004-12-13 00:00:00+01:00,33.6,
N57933,Add penalty,68.77,,,,,complete,,,,,2005-01-29 00:00:00+01:00,,
N57933,Payment,,,,,,complete,,,11,,2005-06-21 00:00:00+02:00,44.6,
V9832,Create Fine,32,142,NIL,,,complete,,25,,0,2002-08-27 00:00:00+02:00,0,A
V9832,Send Fine,,,,10,,complete,,,,,2002-10-25 00:00:00+02:00,,
V9832,Insert Fine Notification,,,,,N,complete,P,,,,2002-10-31 00:00:00+01:00,,
V9832,Add penalty,65.5,,,,,complete,,,,,2002-12-30 00:00:00+01:00,,
V9832,Send for Credit Collection,,,,,,complete,,,,,2004-01-10 00:00:00+01:00,,
S58927,Create Fine,32.8,157,NIL,,,complete,,704,,0,2001-02-08 00:00:00+01:00,0,A
S58927,Send Fine,,,,17.04,,complete,,,,,2001-07-04 00:00:00+02:00,,
S58927,Insert Fine Notification,,,,,N,complete,P,,,,2001-07-30 00:00:00+02:00,,
S58927,Add penalty,65.6,,,,,complete,,,,,2001-09-28 00:00:00+02:00,,
S58927,Send for Credit Collection,,,,,,complete,,,,,2003-01-10 00:00:00+01:00,,
