org:resource,case:concept:name,concept:name,time:timestamp,seriousness,customer,product,seriousness_2,service_level,service_type,workgroup,paymentAmount,points,totalPaymentAmount,vehicleClass
29,V18195,Create Fine,2008-12-23 00:00:00+01:00,148,142,NIL,,,complete,,,5,0,A
,V18195,Send Fine,2009-05-12 00:00:00+02:00,,,,26,,complete,,,,,
,V18195,Insert Fine Notification,2009-05-20 00:00:00+02:00,,,,,P,complete,P,,,,
,V18195,Insert Date Appeal to Prefecture,2009-06-22 00:00:00+02:00,,,,,,complete,,,,,
,V18195,Add penalty,2009-07-19 00:00:00+02:00,297,,,,,complete,,,,,
,V18195,Send Appeal to Prefecture,2009-08-10 00:00:00+02:00,,,NIL,,,complete,,,,,
,V18195,Receive Result Appeal from Prefecture,2009-10-08 00:00:00+02:00,,,,,,complete,,,,,
,V18195,Notify Result Appeal to Offender,2009-10-12 00:00:00+02:00,,,,,,complete,,,,,
,V18195,Payment,2009-10-29 00:00:00+01:00,,,,,,complete,,174,,174,
552,N74729,Create Fine,2005-05-30 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N74729,Send Fine,2005-09-21 00:00:00+02:00,,,,14.25,,complete,,,,,
,N74729,Insert Fine Notification,2005-09-30 00:00:00+02:00,,,,,P,complete,P,,,,
,N74729,Add penalty,2005-11-29 00:00:00+01:00,71.5,,,,,complete,,,,,
,N74729,Payment,2005-12-05 00:00:00+01:00,,,,,,complete,,49.25,,49.25,
,N74729,Payment,2006-01-10 00:00:00+01:00,,,,,,complete,,36.5,,85.75,
560,N98199,Create Fine,2006-06-06 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N98199,Payment,2006-06-15 00:00:00+02:00,,,,,,complete,,35,,35,
541,A43990,Create Fine,2009-08-11 00:00:00+02:00,38,157,NIL,,,complete,,,0,0,A
,A43990,Send Fine,2009-12-17 00:00:00+01:00,,,,13.5,,complete,,,,,
,A43990,Insert Fine Notification,2009-12-28 00:00:00+01:00,,,,,P,complete,P,,,,
,A43990,Add penalty,2010-02-26 00:00:00+01:00,77.5,,,,,complete,,,,,
,A43990,Send for Credit Collection,2012-03-26 00:00:00+02:00,,,,,,complete,,,,,
53,S115977,Create Fine,2006-09-01 00:00:00+02:00,71,158,NIL,,,complete,,,0,0,A
,S115977,Send Fine,2006-12-15 00:00:00+01:00,,,,11,,complete,,,,,
,S115977,Insert Fine Notification,2006-12-30 00:00:00+01:00,,,,,P,complete,P,,,,
,S115977,Add penalty,2007-02-28 00:00:00+01:00,143,,,,,complete,,,,,
,S115977,Payment,2007-04-18 00:00:00+02:00,,,,,,complete,,82,,82,
,S115977,Payment,2007-05-26 00:00:00+02:00,,,,,,complete,,72,,154,
834,S63516,Create Fine,2001-07-01 00:00:00+02:00,32.8,7,NIL,,,complete,,,0,0,A
,S63516,Send Fine,2001-08-27 00:00:00+02:00,,,,6.71,,complete,,,,,
,S63516,Insert Fine Notification,2001-09-14 00:00:00+02:00,,,,,N,complete,P,,,,
,S63516,Add penalty,2001-11-13 00:00:00+01:00,65.6,,,,,complete,,,,,
,S63516,Send for Credit Collection,2003-01-10 00:00:00+01:00,,,,,,complete,,,,,
558,A10466,Create Fine,2007-03-19 00:00:00+01:00,36,157,NIL,,,complete,,,0,0,A
,A10466,Send Fine,2007-07-17 00:00:00+02:00,,,,13,,complete,,,,,
,A10466,Insert Fine Notification,2007-07-25 00:00:00+02:00,,,,,P,complete,P,,,,
,A10466,Add penalty,2007-09-23 00:00:00+02:00,74,,,,,complete,,,,,
,A10466,Send for Credit Collection,2009-03-30 00:00:00+02:00,,,,,,complete,,,,,
538,P990,Create Fine,2011-07-16 00:00:00+02:00,24,7,NIL,,,complete,,,0,0,A
,P990,Send Fine,2011-09-09 00:00:00+02:00,,,,15,,complete,,,,,
,P990,Insert Fine Notification,2011-09-23 00:00:00+02:00,,,,,P,complete,P,,,,
,P990,Add penalty,2011-11-22 00:00:00+01:00,47,,,,,complete,,,,,
,P990,Payment,2011-12-31 00:00:00+01:00,,,,,,complete,,39,,39,
,P990,Payment,2012-11-07 00:00:00+01:00,,,,,,complete,,23,,62,
556,N58044,Create Fine,2004-07-10 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N58044,Send Fine,2004-11-23 00:00:00+01:00,,,,16.6,,complete,,,,,
,N58044,Insert Fine Notification,2004-12-16 00:00:00+01:00,,,,,P,complete,P,,,,
,N58044,Add penalty,2005-02-14 00:00:00+01:00,68.77,,,,,complete,,,,,
,N58044,Send for Credit Collection,2006-02-28 00:00:00+01:00,,,,,,complete,,,,,
33,S45359,Create Fine,2000-03-15 00:00:00+01:00,31.3,157,NIL,,,complete,,,0,0,A
,S45359,Send Fine,2000-04-16 00:00:00+02:00,,,,6.46,,complete,,,,,
,S45359,Insert Fine Notification,2000-05-25 00:00:00+02:00,,,,,N,complete,P,,,,
,S45359,Add penalty,2000-07-24 00:00:00+02:00,62.59,,,,,complete,,,,,
,S45359,Send for Credit Collection,2002-04-10 00:00:00+02:00,,,,,,complete,,,,,
562,A16409,Create Fine,2007-06-20 00:00:00+02:00,36,158,NIL,,,complete,,,0,0,A
,A16409,Send Fine,2007-08-22 00:00:00+02:00,,,,13,,complete,,,,,
,A16409,Insert Fine Notification,2007-08-30 00:00:00+02:00,,,,,P,complete,P,,,,
,A16409,Add penalty,2007-10-29 00:00:00+01:00,74,,,,,complete,,,,,
,A16409,Send for Credit Collection,2009-03-30 00:00:00+02:00,,,,,,complete,,,,,
30,V5222,Create Fine,2000-06-10 00:00:00+02:00,125.19,142,NIL,,,complete,,,0,0,A
,V5222,Send Fine,2000-07-27 00:00:00+02:00,,,,11.41,,complete,,,,,
,V5222,Insert Fine Notification,2000-09-20 00:00:00+02:00,,,,,N,complete,P,,,,
,V5222,Add penalty,2000-11-19 00:00:00+01:00,250.38,,,,,complete,,,,,
,V5222,Send for Credit Collection,2002-04-10 00:00:00+02:00,,,,,,complete,,,,,
40,C18702,Create Fine,2006-07-14 00:00:00+02:00,138,146,NIL,,,complete,,,6,0,A
,C18702,Send Fine,2006-07-14 00:00:00+02:00,,,,0,,complete,,,,,
,C18702,Insert Fine Notification,2006-07-14 00:00:00+02:00,,,,,C,complete,P,,,,
,C18702,Add penalty,2006-09-12 00:00:00+02:00,275,,,,,complete,,,,,
,C18702,Payment,2007-05-08 00:00:00+02:00,,,,,,complete,,275,,275,
58,S93300,Create Fine,2004-07-10 00:00:00+02:00,33.6,7,NIL,,,complete,,,0,0,A
,S93300,Send Fine,2004-11-10 00:00:00+01:00,,,,11,,complete,,,,,
,S93300,Insert Fine Notification,2004-11-18 00:00:00+01:00,,,,,P,complete,P,,,,
,S93300,Add penalty,2005-01-17 00:00:00+01:00,68.77,,,,,complete,,,,,
,S93300,Send for Credit Collection,2006-02-28 00:00:00+01:00,,,,,,complete,,,,,
557,N76661,Create Fine,2005-07-10 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N76661,Send Fine,2005-12-02 00:00:00+01:00,,,,11,,complete,,,,,
541,A182,Create Fine,2006-08-06 00:00:00+02:00,35,7,NIL,,,complete,,,0,0,A
,A182,Send Fine,2006-12-13 00:00:00+01:00,,,,11,,complete,,,,,
,A182,Insert Fine Notification,2007-01-05 00:00:00+01:00,,,,,P,complete,P,,,,
,A182,Add penalty,2007-03-06 00:00:00+01:00,71.5,,,,,complete,,,,,
,A182,Payment,2007-11-19 00:00:00+01:00,,,,,,complete,,82.5,,82.5,
63,C22944,Create Fine,2012-04-21 00:00:00+02:00,39,7,NIL,,,complete,,,0,0,A
,C22944,Send Fine,2012-04-21 00:00:00+02:00,,,,0,,complete,,,,,
,C22944,Insert Fine Notification,2012-04-21 00:00:00+02:00,,,,,C,complete,P,,,,
,C22944,Add penalty,2012-06-20 00:00:00+02:00,79.5,,,,,complete,,,,,
,C22944,Payment,2012-10-23 00:00:00+02:00,,,,,,complete,,79.5,,79.5,
537,N91722,Create Fine,2006-04-18 00:00:00+02:00,21,7,NIL,,,complete,,,0,0,A
,N91722,Send Fine,2006-08-17 00:00:00+02:00,,,,11,,complete,,,,,
,N91722,Insert Fine Notification,2006-08-25 00:00:00+02:00,,,,,P,complete,P,,,,
,N91722,Add penalty,2006-10-24 00:00:00+02:00,42.5,,,,,complete,,,,,
,N91722,Payment,2007-11-28 00:00:00+01:00,,,,,,complete,,53.5,,53.5,
848,S173060,Create Fine,2011-08-25 00:00:00+02:00,80,158,NIL,,,complete,,,0,0,A
,S173060,Send Fine,2011-10-24 00:00:00+02:00,,,,15,,complete,,,,,
,S173060,Insert Fine Notification,2011-11-21 00:00:00+01:00,,,,,P,complete,P,,,,
,S173060,Add penalty,2012-01-20 00:00:00+01:00,159,,,,,complete,,,,,
,S173060,Payment,2012-11-29 00:00:00+01:00,,,,,,complete,,174,,174,
821,S75551,Create Fine,2002-07-21 00:00:00+02:00,32,158,NIL,,,complete,,,0,0,A
,S75551,Send Fine,2002-09-05 00:00:00+02:00,,,,15.16,,complete,,,,,
,S75551,Insert Fine Notification,2002-09-20 00:00:00+02:00,,,,,N,complete,P,,,,
,S75551,Add penalty,2002-11-19 00:00:00+01:00,65.5,,,,,complete,,,,,
,S75551,Send for Credit Collection,2004-01-10 00:00:00+01:00,,,,,,complete,,,,,
30,V11342,Create Fine,2003-04-01 00:00:00+02:00,137.55,142,NIL,,,complete,,,0,0,A
,V11342,Send Fine,2003-05-20 00:00:00+02:00,,,,10,,complete,,,,,
558,N79305,Create Fine,2005-04-07 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N79305,Payment,2005-04-12 00:00:00+02:00,,,,,,complete,,35,,35,
49,S139983,Create Fine,2009-07-11 00:00:00+02:00,38,7,NIL,,,complete,,,0,0,A
,S139983,Payment,2009-07-15 00:00:00+02:00,,,,,,complete,,38,,38,
26,S171178,Create Fine,2011-07-24 00:00:00+02:00,39,7,NIL,,,complete,,,0,0,A
,S171178,Payment,2011-07-24 00:00:00+02:00,,,,,,complete,,39,,39,
559,A14816,Create Fine,2007-07-02 00:00:00+02:00,36,157,NIL,,,complete,,,0,0,A
,A14816,Send Fine,2007-09-29 00:00:00+02:00,,,,13,,complete,,,,,
,A14816,Insert Fine Notification,2007-10-12 00:00:00+02:00,,,,,P,complete,P,,,,
,A14816,Add penalty,2007-12-11 00:00:00+01:00,74,,,,,complete,,,,,
,A14816,Send for Credit Collection,2009-03-30 00:00:00+02:00,,,,,,complete,,,,,
56,S132229,Create Fine,2008-12-23 00:00:00+01:00,22,181,NIL,,,complete,,,0,0,A
,S132229,Send Fine,2009-01-28 00:00:00+01:00,,,,0,,complete,,,,,
,S132229,Insert Fine Notification,2009-01-28 00:00:00+01:00,,,,,,complete,P,,,,
,S132229,Add penalty,2009-03-29 00:00:00+01:00,44,,,,,complete,,,,,
,S132229,Send for Credit Collection,2010-10-15 00:00:00+02:00,,,,,,complete,,,,,
538,N33329,Create Fine,2001-04-02 00:00:00+02:00,32.8,157,I,,,complete,,,0,0,A
,N33329,Send Fine,2001-06-07 00:00:00+02:00,,,,6.71,,complete,,,,,
52,S83371,Create Fine,2003-08-15 00:00:00+02:00,33.6,7,NIL,,,complete,,,0,0,A
,S83371,Payment,2003-08-18 00:00:00+02:00,,,,,,complete,,33.6,,33.6,
555,N74006,Create Fine,2005-05-10 00:00:00+02:00,21,7,NIL,,,complete,,,0,0,A
,N74006,Send Fine,2005-09-17 00:00:00+02:00,,,,14.25,,complete,,,,,
,N74006,Insert Fine Notification,2005-10-05 00:00:00+02:00,,,,,P,complete,P,,,,
,N74006,Add penalty,2005-12-04 00:00:00+01:00,42.5,,,,,complete,,,,,
,N74006,Send for Credit Collection,2007-02-28 00:00:00+01:00,,,,,,complete,,,,,
536,N29297,Create Fine,2000-09-28 00:00:00+02:00,31.3,157,NIL,,,complete,,,0,0,A
,N29297,Send Fine,2000-11-10 00:00:00+01:00,,,,6.71,,complete,,,,,
,N29297,Insert Fine Notification,2000-12-02 00:00:00+01:00,,,,,N,complete,P,,,,
,N29297,Add penalty,2001-01-31 00:00:00+01:00,62.59,,,,,complete,,,,,
,N29297,Send for Credit Collection,2002-04-10 00:00:00+02:00,,,,,,complete,,,,,
820,S77408,Create Fine,2002-08-19 00:00:00+02:00,32,157,NIL,,,complete,,,0,0,A
,S77408,Send Fine,2002-10-25 00:00:00+02:00,,,,10,,complete,,,,,
,S77408,Insert Fine Notification,2002-10-31 00:00:00+01:00,,,,,N,complete,P,,,,
,S77408,Add penalty,2002-12-30 00:00:00+01:00,65.5,,,,,complete,,,,,
,S77408,Send for Credit Collection,2004-01-10 00:00:00+01:00,,,,,,complete,,,,,
536,N78482,Create Fine,2005-09-08 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N78482,Send Fine,2005-12-22 00:00:00+01:00,,,,11,,complete,,,,,
555,N74075,Create Fine,2005-05-13 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N74075,Payment,2005-05-19 00:00:00+02:00,,,,,,complete,,35,,35,
560,A19204,Create Fine,2007-06-08 00:00:00+02:00,22,7,NIL,,,complete,,,0,0,A
,A19204,Send Fine,2007-09-13 00:00:00+02:00,,,,13,,complete,,,,,
,A19204,Insert Fine Notification,2007-10-03 00:00:00+02:00,,,,,P,complete,P,,,,
,A19204,Add penalty,2007-12-02 00:00:00+01:00,44,,,,,complete,,,,,
,A19204,Send for Credit Collection,2009-03-30 00:00:00+02:00,,,,,,complete,,,,,
541,N77682,Create Fine,2005-03-27 00:00:00+01:00,35,157,NIL,,,complete,,,0,0,A
,N77682,Send Fine,2005-07-23 00:00:00+02:00,,,,11,,complete,,,,,
850,S153533,Create Fine,2010-06-29 00:00:00+02:00,78,158,NIL,,,complete,,,0,0,A
,S153533,Payment,2010-07-05 00:00:00+02:00,,,,,,complete,,78,,78,
818,S61365,Create Fine,2001-05-11 00:00:00+02:00,32.8,7,NIL,,,complete,,,0,0,A
,S61365,Send Fine,2001-07-04 00:00:00+02:00,,,,11.88,,complete,,,,,
,S61365,Payment,2001-07-23 00:00:00+02:00,,,,,,complete,,44.68,,44.68,
850,S150741,Create Fine,2010-05-03 00:00:00+02:00,38,7,NIL,,,complete,,,0,0,A
,S150741,Send Fine,2010-08-20 00:00:00+02:00,,,,13.5,,complete,,,,,
,S150741,Insert Fine Notification,2010-09-06 00:00:00+02:00,,,,,P,complete,P,,,,
,S150741,Add penalty,2010-11-05 00:00:00+01:00,77.5,,,,,complete,,,,,
,S150741,Send for Credit Collection,2012-03-26 00:00:00+02:00,,,,,,complete,,,,,
538,N47046,Create Fine,2003-01-22 00:00:00+01:00,33.6,157,NIL,,,complete,,,0,0,A
,N47046,Send Fine,2003-05-20 00:00:00+02:00,,,,15.16,,complete,,,,,
,N47046,Insert Fine Notification,2003-05-28 00:00:00+02:00,,,,,N,complete,P,,,,
,N47046,Add penalty,2003-07-27 00:00:00+02:00,68.77,,,,,complete,,,,,
,N47046,Payment,2003-08-21 00:00:00+02:00,,,,,,complete,,53.6,,53.6,
,N47046,Payment,2003-10-22 00:00:00+02:00,,,,,,complete,,30.33,,83.93,
537,N36957,Create Fine,2001-10-02 00:00:00+02:00,32.8,157,NIL,,,complete,,,0,0,A
,N36957,Payment,2001-10-05 00:00:00+02:00,,,,,,complete,,32.8,,32.8,
,N36957,Send Fine,2001-11-24 00:00:00+01:00,,,,6.71,,complete,,,,,
537,A26153,Create Fine,2008-01-24 00:00:00+01:00,36,157,NIL,,,complete,,,0,0,A
,A26153,Send Fine,2008-03-01 00:00:00+01:00,,,,13,,complete,,,,,
26,S126332,Create Fine,2008-07-20 00:00:00+02:00,36,157,NIL,,,complete,,,0,0,A
,S126332,Payment,2008-08-01 00:00:00+02:00,,,,,,complete,,36,,36,
820,S70308,Create Fine,2001-09-26 00:00:00+02:00,32.8,171,NIL,,,complete,,,0,0,M
,S70308,Send Fine,2001-12-22 00:00:00+01:00,,,,11.87,,complete,,,,,
,S70308,Insert Fine Notification,2002-01-11 00:00:00+01:00,,,,,N,complete,P,,,,
,S70308,Add penalty,2002-03-12 00:00:00+01:00,65.6,,,,,complete,,,,,
,S70308,Send for Credit Collection,2003-01-10 00:00:00+01:00,,,,,,complete,,,,,
50,S125404,Create Fine,2008-06-12 00:00:00+02:00,36,157,NIL,,,complete,,,0,0,A
,S125404,Send Fine,2008-07-30 00:00:00+02:00,,,,13,,complete,,,,,
,S125404,Insert Fine Notification,2008-08-06 00:00:00+02:00,,,,,P,complete,P,,,,
,S125404,Add penalty,2008-10-05 00:00:00+02:00,74,,,,,complete,,,,,
,S125404,Payment,2009-07-15 00:00:00+02:00,,,,,,complete,,87,,87,
16,S68119,Create Fine,2001-12-13 00:00:00+01:00,32.8,158,NIL,,,complete,,,0,0,A
,S68119,Send Fine,2001-12-31 00:00:00+01:00,,,,6.71,,complete,,,,,
,S68119,Payment,2002-01-15 00:00:00+01:00,,,,,,complete,,39.51,,39.51,
556,A18477,Create Fine,2007-07-12 00:00:00+02:00,36,157,NIL,,,complete,,,0,0,A
,A18477,Send Fine,2007-10-31 00:00:00+01:00,,,,13,,complete,,,,,
,A18477,Insert Fine Notification,2007-11-19 00:00:00+01:00,,,,,P,complete,P,,,,
,A18477,Add penalty,2008-01-18 00:00:00+01:00,74,,,,,complete,,,,,
,A18477,Payment,2008-09-18 00:00:00+02:00,,,,,,complete,,87,,87,
53,S125452,Create Fine,2008-06-13 00:00:00+02:00,36,157,NIL,,,complete,,,0,0,A
,S125452,Payment,2008-07-19 00:00:00+02:00,,,,,,complete,,36,,36,
36,V6627,Create Fine,2000-09-05 00:00:00+02:00,125.19,142,NIL,,,complete,,,0,0,A
,V6627,Send Fine,2000-11-10 00:00:00+01:00,,,,6.71,,complete,,,,,
,V6627,Insert Fine Notification,2000-12-19 00:00:00+01:00,,,,,N,complete,P,,,,
,V6627,Add penalty,2001-02-17 00:00:00+01:00,250.38,,,,,complete,,,,,
,V6627,Send for Credit Collection,2002-04-10 00:00:00+02:00,,,,,,complete,,,,,
